"","beta_true","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta","pre_mpm_beta"
"1",1.24536183523014,1,0.999800039992002,0.994601079784043,0.999200159968006,0.97000599880024,0.529694061187762,1,1,0.99880023995201,0.999000199960008,0.978404319136173,1,0.998200359928014,0.971405718856229,0.998600279944011,1,0.999800039992002,0.993001399720056,0.697260547890422,1,0.999200159968006,0.97000599880024,1,1,1,1,0.915416916616677,1,0.875624875024995,1
"2",1.41765612200834,1,0.998400319936013,1,1,1,1,0.967806438712258,1,0.993401319736053,0.91501699660068,0.998400319936013,1,1,0.998600279944011,1,1,1,1,0.999200159968006,0.999800039992002,1,1,1,1,1,1,1,0.999800039992002,1,1
"3",2.41566344688181,1,1,1,1,0.999200159968006,1,1,1,1,0.988002399520096,1,1,1,1,1,1,1,1,1,0.997800439912018,1,1,1,1,1,1,1,1,1,1
"4",1.0609591063112,1,1,1,1,1,1,1,1,1,0.990801839632074,1,1,1,1,1,1,1,1,1,1,0.998000399920016,1,1,1,1,1,1,1,1,1
"5",2.47302481753286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997200559888022,1,1,1,1,1,1,1,1,1,1
"6",1.95417719124816,0.955608878224355,1,1,1,0.999800039992002,1,1,1,1,0.999000199960008,1,0.999800039992002,1,0.992801439712058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",1.95931650558487,1,1,1,0.999600079984003,0.998600279944011,1,1,1,1,1,1,0.999400119976005,1,0.99620075984803,1,1,0.890621875624875,1,0.999200159968006,1,1,0.999000199960008,1,0.999400119976005,1,0.998600279944011,1,1,1,1
"8",2.08898858143948,1,1,0.993001399720056,1,1,1,0.900819836032793,0.976804639072186,1,0.987002599480104,0.999800039992002,0.851029794041192,0.961607678464307,1,1,1,0.867626474705059,1,0.99880023995201,1,0.739252149570086,1,0.991801639672066,1,0.999800039992002,0.604879024195161,0.974005198960208,1,0.998400319936013,1
"9",0,0.813237352529494,0.665266946610678,0.392921415716857,0.963007398520296,0.424915016996601,0.994001199760048,0.348130373925215,0.839232153569286,0.939412117576485,0.518296340731854,0.366926614677065,0.635072985402919,0.56628674265147,0.682263547290542,0.999800039992002,0.985602879424115,0.560687862427514,0.958608278344331,0.988402319536093,0.763847230553889,0.398920215956809,0.933013397320536,0.616676664667067,0.967206558688262,0.984603079384123,0.57128574285143,0.449510097980404,0.97380523895221,0.99380123975205,0.51869626074785
"10",0,0.504899020195961,0.321135772845431,0.344931013797241,0.495500899820036,0.30253949210158,0.904819036192761,0.459508098380324,0.770645870825835,0.394721055788842,0.306938612277544,0.445110977804439,0.35872825434913,0.35372925414917,0.329734053189362,0.353529294141172,0.470705858828234,0.604679064187163,0.401919616076785,0.821835632873425,0.339532093581284,0.437312537492501,0.447110577884423,0.395520895820836,0.907218556288742,0.451109778044391,0.331933613277345,0.321935612877425,0.570485902819436,0.710857828434313,0.403519296140772
"11",0,0.676664667066587,0.343131373725255,0.356328734253149,0.348530293941212,0.320935812837432,0.943811237752449,0.407718456308738,0.36872625474905,0.356328734253149,0.368526294741052,0.340531893621276,0.338332333533293,0.34873025394921,0.325334933013397,0.352929414117177,0.378124375124975,0.528294341131774,0.437312537492501,0.340931813637273,0.299540091981604,0.538292341531694,0.368526294741052,0.349930013997201,0.58128374325135,0.412117576484703,0.364327134573085,0.399920015996801,0.445110977804439,0.612677464507099,0.344931013797241
"12",0,0.325734853029394,0.319336132773445,0.40751849630074,0.345130973805239,0.533493301339732,0.325534893021396,0.35372925414917,0.345330933813237,0.34373125374925,0.474705058988202,0.316336732653469,0.327134573085383,0.336532693461308,0.360127974405119,0.533893221355729,0.307738452309538,0.366126774645071,0.411117776444711,0.455108978204359,0.413517296540692,0.346530693861228,0.4375124975005,0.320335932813437,0.57248550289942,0.372125574885023,0.96620675864827,0.372725454909018,0.334133173365327,0.344131173765247,0.379324135172965
"13",0,0.375324935012997,0.500899820035993,0.388522295540892,0.370125974805039,0.319736052789442,0.34373125374925,0.357328534293141,0.420915816836633,0.339932013597281,0.301539692061588,0.314337132573485,0.326334733053389,0.330533893221356,0.343131373725255,0.716056788642272,0.334533093381324,0.328134373125375,0.303539292141572,0.378924215156969,0.392321535692861,0.323935212957409,0.448110377924415,0.310937812437513,0.621075784843031,0.578084383123375,0.555088982203559,0.297140571885623,0.340731853629274,0.481103779244151,0.417316536692661
"14",0,0.370925814837033,0.320735852829434,0.319336132773445,0.430113977204559,0.315136972605479,0.339332133573285,0.371725654869026,0.352329534093181,0.464707058588282,0.334333133373325,0.498500299940012,0.328334333133373,0.523095380923815,0.322735452909418,0.443311337732454,0.371525694861028,0.33373325334933,0.364527094581084,0.388322335532893,0.332133573285343,0.324735052989402,0.449510097980404,0.327934413117377,0.357728454309138,0.401719656068786,0.35252949410118,0.336132773445311,0.311537692461508,0.330533893221356,0.416716656668666
"15",0,0.344331133773245,0.376324735052989,0.32873425314937,0.331733653269346,0.330733853229354,0.378924215156969,0.345130973805239,0.428514297140572,0.395920815836833,0.294541091781644,0.660267946410718,0.405918816236753,0.416916616676665,0.339532093581284,0.360127974405119,0.362927414517097,0.320535892821436,0.346330733853229,0.408318336332733,0.327934413117377,0.341331733653269,0.640671865626875,0.639072185562887,0.386322735452909,0.331733653269346,0.313937212557489,0.336132773445311,0.2875424915017,0.495500899820036,0.367126574685063
"16",0,0.346330733853229,0.530893821235753,0.393521295740852,0.321535692861428,0.524295140971806,0.346530693861228,0.334333133373325,0.378324335132973,0.417916416716657,0.303539292141572,0.669866026794641,0.660067986402719,0.324735052989402,0.362927414517097,0.392321535692861,0.45630873825235,0.356128774245151,0.327334533093381,0.327934413117377,0.356328734253149,0.446910617876425,0.45250949810038,0.512697460507898,0.342131573685263,0.616876624675065,0.321535692861428,0.551489702059588,0.295540891821636,0.411917616476705,0.49130173965207
"17",0,0.605478904219156,0.367726454709058,0.389722055588882,0.330733853229354,0.393321335732853,0.35252949410118,0.565086982603479,0.356928614277145,0.373125374925015,0.299740051989602,0.502099580083983,0.885222955408918,0.3875224955009,0.350529894021196,0.320135972805439,0.470705858828234,0.336532693461308,0.340331933613277,0.29374125174965,0.340331933613277,0.420315936812637,0.522895420915817,0.435512897420516,0.370525894821036,0.351729654069186,0.344731053789242,0.43251349730054,0.560287942411518,0.35752849430114,0.519696060787842
"18",0,0.346130773845231,0.349930013997201,0.411917616476705,0.338932213557289,0.380923815236953,0.358128374325135,0.508298340331934,0.430113977204559,0.627074585082983,0.319336132773445,0.618676264747051,0.442911417716457,0.738852229554089,0.318536292741452,0.347130573885223,0.302939412117576,0.391321735652869,0.333133373325335,0.342931413717257,0.371125774845031,0.439312137572485,0.346930613877225,0.32373525294941,0.343531293741252,0.486102779444111,0.359328134373125,0.425314937012597,0.360927814437113,0.336732653469306,0.388322335532893
"19",0,0.327734453109378,0.32873425314937,0.351329734053189,0.325734853029394,0.309938012397521,0.443311337732454,0.452909418116377,0.375724855028994,0.346330733853229,0.387722455508898,0.533493301339732,0.411917616476705,0.484903019396121,0.325334933013397,0.359728054389122,0.349330133973205,0.334533093381324,0.338932213557289,0.369526094781044,0.385722855428914,0.367726454709058,0.369926014797041,0.487102579484103,0.349930013997201,0.423115376924615,0.47250549890022,0.44871025794841,0.435312937412517,0.33373325334933,0.402919416116777
