"","main","clark","stage","age","gender","clark","stage","age","gender"
"SMARCD2",1e-04,0,0,0,0,0.5758,0.2734,0.0866,0.0244
"SON",-1e-04,0,0,0,0,0.5851,0.2267,0.1088,0.045
"DKFZP586C1324",4e-04,0,0,0,0,0.5555,0.2725,0.0895,0.0516
"STXBP4",-0.0025,0,0,0,0,0.5391,0.2807,0.1177,0.0149
"THAP2",-0.0029,0,0,0,0,0.5371,0.2776,0.0914,0.0512
"TIE1",-4e-04,0,0,0,0,0.6001,0.2755,0.0947,0.0443
"TMCC2",2e-04,0,0,0,0,0.5555,0.2767,0.0836,0.0412
"TMEM159",7e-04,0,0,0,0,0.5648,0.3,0.0687,0.0597
"TMEM53",0.0012,0,0,0,0,0.5714,0.2236,0.1166,0.0375
"TP53I11",-3e-04,0,0,0,0,0.6177,0.2811,0.0876,0.0579
"TUBB6",1e-04,0,0,0,0,0.5412,0.2814,0.0828,0.0795
"TUFT1",8e-04,0,0,0,0,0.6002,0.2515,0.0798,0.0037
"UBXN4",-2e-04,0,0,0,0,0.5225,0.2689,0.0742,0.0641
"ULK3",3e-04,0,0,0,0,0.527,0.3253,0.0971,0.0622
"VOPP1",-3e-04,0,0,0,0,0.5444,0.3128,0.0998,0.0635
"VPS37B",3e-04,0,0,0,0,0.5744,0.2453,0.0874,0.0309
"ZFP62",-0.0011,0,0,0,0,0.5834,0.2519,0.1232,0.0619
